"PROJ_ID","MONTH_DT","SCHEDULED","COMPLETED"
"Proj-8-131",2012-11-09,28.5,12
"Proj-9-131",2012-11-09,3,3
"Proj-7-130",2012-11-15,376,376
"Proj-12-132",2012-12-06,121,121
"Proj-7-133",2012-12-13,438,438
"Proj-14-135",2012-12-14,73.5,35.5
"Proj-16-135",2012-12-14,44.5,18.5
"Proj-31-135",2012-12-14,106,101
"Proj-32-135",2012-12-14,111.5,43.5
"Proj-33-135",2012-12-14,2,2
"Proj-5-135",2012-12-14,40,27
"Proj-6-135",2012-12-14,58,39.5
"Proj-8-135",2012-12-14,76.5,45.5
"Proj-9-135",2012-12-14,182,149
"Proj-10-138",2013-01-04,72,72
"Proj-10-142",2013-01-11,449,409
"Proj-14-139",2013-01-18,96,80
"Proj-16-139",2013-01-18,59,59
"Proj-31-139",2013-01-18,85.5,85.5
"Proj-32-139",2013-01-18,188.5,188.5
"Proj-33-139",2013-01-18,11,11
"Proj-5-139",2013-01-18,25,25
"Proj-6-139",2013-01-18,44.5,43.5
"Proj-8-139",2013-01-18,99,76.5
"Proj-9-139",2013-01-18,112.5,112.5
"Proj-12-136",2013-01-24,42,42
"Proj-7-137",2013-01-24,326,326
"Proj-7-141",2013-02-22,286,286
"Proj-12-140",2013-02-26,70,70
"Proj-10-148",2013-03-01,294,294
"Proj-7-144",2013-03-21,296,296
"Proj-12-143",2013-03-27,98,98
"Proj-7-147",2013-04-18,266,266
"Proj-14-146",2013-04-19,84,66
"Proj-16-146",2013-04-19,47.5,22
"Proj-31-146",2013-04-19,161,161
"Proj-32-146",2013-04-19,211.5,86.5
"Proj-33-146",2013-04-19,8,6
"Proj-5-146",2013-04-19,32,24
"Proj-6-146",2013-04-19,74.5,30.5
"Proj-8-146",2013-04-19,82.5,41
"Proj-9-146",2013-04-19,99.5,91.5
"Proj-12-145",2013-04-25,88,88
"Proj-10-154",2013-05-17,594,593
"Proj-14-150",2013-05-24,109,89
"Proj-16-150",2013-05-24,69.5,35.5
"Proj-31-150",2013-05-24,124,124
"Proj-32-150",2013-05-24,324.5,202.5
"Proj-33-150",2013-05-24,35.5,35.5
"Proj-5-150",2013-05-24,30,22
"Proj-6-150",2013-05-24,74,62.5
"Proj-7-151",2013-05-24,242,242
"Proj-8-150",2013-05-24,106,58
